timeStamp,elapsed,success,failureMessage,Latency,Connect
1553635353389,255,true,,206,155
1553635353467,284,true,,251,130
1553635353466,292,true,,236,167
1553635353464,295,true,,293,122
1553635353482,279,true,,222,150
1553635353474,350,true,,237,158
1553635353529,304,true,,209,158
1553635353463,392,true,,246,140
1553635353480,415,true,,236,161
1553635353513,386,true,,252,179
1553635353526,378,true,,242,170
1553635353511,394,true,,250,186
1553635353484,534,true,,397,272
1553635353510,508,true,,261,187
1553635353619,401,true,,322,250
1553635353618,405,true,,329,258
1553635353608,427,true,,347,281
1553635353584,459,true,,426,310
1553635353615,434,true,,398,273
1553635353599,453,true,,416,299
1553635353602,454,true,,414,308
1553635353601,460,true,,415,309
1553635353540,522,true,,477,387
1553635353582,482,true,,435,344
1553635353535,535,true,,484,394
1553635353533,537,true,,486,393
1553635353601,475,true,,419,326
1553635353582,495,true,,438,346
1553635353541,601,true,,485,387
1553635353531,613,true,,425,360
1553635353596,558,true,,435,342
1553635353594,564,true,,427,344
1553635353548,620,true,,472,378
1553635353776,404,true,,305,241
1553635353764,421,true,,319,253
1553635353695,564,true,,352,259
1553635353807,453,true,,367,234
1553635353596,671,true,,425,342
1553635353484,791,true,,220,149
1553635353823,466,true,,372,257
1553635353809,495,true,,396,262
1553635353821,501,true,,391,255
1553635353775,558,true,,439,281
1553635353607,763,true,,367,287
1553635353616,828,true,,635,517
1553635353619,831,true,,631,519
1553635353764,693,true,,419,256
1553635353813,669,true,,408,260
1553635353553,937,true,,403,338
1553635353610,881,true,,637,281
1553635353764,729,true,,653,257
1553635353817,682,true,,429,256
1553635353920,584,true,,520,326
1553635353814,738,true,,404,257
1553635353924,649,true,,510,322
1553635353809,766,true,,676,579
1553635353509,1071,true,,264,188
1553635354066,528,true,,440,368
1553635353772,825,true,,462,304
1553635353920,686,true,,526,332
1553635353537,1079,true,,981,897
1553635353923,707,true,,534,335
1553635353819,833,true,,439,342
1553635354083,582,true,,470,384
1553635354091,576,true,,463,376
1553635353489,1191,true,,843,145
1553635354101,585,true,,473,371
1553635353617,1072,true,,877,619
1553635354133,557,true,,460,352
1553635353764,941,true,,844,726
1553635353518,1191,true,,247,178
1553635353807,904,true,,654,232
1553635354072,639,true,,460,380
1553635354139,582,true,,478,362
1553635353921,812,true,,540,337
1553635353529,1212,true,,1018,927
1553635354127,618,true,,441,345
1553635353538,1209,true,,482,398
1553635354167,634,true,,466,365
1553635353613,1205,true,,941,851
1553635354103,803,true,,467,367
1553635353588,1319,true,,309,253
1553635353553,1356,true,,466,375
1553635354102,810,true,,478,374
1553635354086,838,true,,497,390
1553635354234,690,true,,456,350
1553635354234,691,true,,458,353
1553635353510,1416,true,,269,181
1553635354075,851,true,,509,396
1553635354132,795,true,,470,355
1553635354271,657,true,,656,415
1553635353545,1389,true,,492,399
1553635354133,803,true,,480,367
1553635354247,690,true,,467,371
1553635354273,664,true,,663,421
1553635353764,1174,true,,441,291
1553635353764,1174,true,,394,255
1553635353584,1355,true,,431,318
1553635354131,808,true,,486,366
1553635354034,906,true,,905,662
1553635354274,685,true,,527,419
1553635354079,1162,true,,733,612
1553635353505,1737,true,,264,191
1553635354429,846,true,,399,304
1553635354086,1203,true,,597,467
1553635354085,1218,true,,598,467
1553635353552,1773,true,,454,342
1553635354082,1279,true,,744,610
1553635354362,1007,true,,446,347
1553635354386,985,true,,442,344
1553635354037,1347,true,,469,396
1553635354072,1353,true,,862,619
1553635354036,1401,true,,782,669
1553635354272,1185,true,,553,421
1553635354233,1224,true,,642,463
1553635353521,1938,true,,233,175
1553635354262,1202,true,,560,425
1553635354271,1198,true,,559,441
1553635354068,1401,true,,785,673
1553635353818,1652,true,,392,257
1553635353811,1660,true,,397,244
1553635354079,1399,true,,770,668
1553635354073,1406,true,,476,388
1553635354088,1393,true,,728,601
1553635354430,1056,true,,878,495
1553635353811,1675,true,,365,230
1553635354080,1409,true,,1232,612
1553635354234,1334,true,,497,398
1553635354266,1315,true,,558,418
1553635354034,1549,true,,615,418
1553635354141,1469,true,,541,406
1553635354244,1366,true,,454,357
1553635354242,1370,true,,463,360
1553635354715,918,true,,785,728
1553635354812,833,true,,741,631
1553635354813,836,true,,747,630
1553635354346,1305,true,,1220,1097
1553635354722,958,true,,848,729
1553635354817,873,true,,758,641
1553635354719,1011,true,,885,743
1553635354719,1029,true,,891,746
1553635353821,1930,true,,396,259
1553635354976,785,true,,675,510
1553635354818,943,true,,752,638
1553635354263,1498,true,,451,360
1553635354829,936,true,,821,649
1553635354948,824,true,,718,537
1553635354819,953,true,,756,638
1553635354909,866,true,,773,567
1553635354395,1382,true,,441,341
1553635354977,801,true,,681,508
1553635354947,832,true,,711,538
1553635354717,1063,true,,939,769
1553635354251,1538,true,,473,377
1553635354725,1090,true,,988,822
1553635354383,1436,true,,483,328
1553635354827,1008,true,,775,637
1553635354829,1010,true,,906,643
1553635354079,1762,true,,731,613
1553635354264,1577,true,,656,422
1553635354819,1025,true,,920,645
1553635354714,1130,true,,773,711
1553635354810,1040,true,,939,795
1553635354382,1471,true,,490,355
1553635354090,1765,true,,497,386
1553635353763,2096,true,,429,291
1553635353810,2054,true,,380,261
1553635354264,1610,true,,537,426
1553635354811,1078,true,,885,651
1553635354718,1174,true,,981,754
1553635354730,1166,true,,986,756
1553635354828,1078,true,,890,652
1553635354102,1810,true,,1620,821
1553635354717,1195,true,,1118,862
1553635354720,1194,true,,874,743
1553635353508,2406,true,,366,211
1553635353613,2312,true,,588,481
1553635354823,1102,true,,910,663
1553635354949,977,true,,901,528
1553635354828,1108,true,,790,642
1553635354738,1203,true,,1121,1015
1553635354826,1121,true,,794,646
1553635354948,1001,true,,744,527
1553635354091,1868,true,,1786,1670
1553635354083,1879,true,,1791,1682
1553635354829,1134,true,,855,657
1553635354949,1014,true,,757,534
1553635353614,2350,true,,622,479
1553635354827,1148,true,,867,647
1553635354079,1899,true,,481,388
1553635354271,1714,true,,563,440
1553635354405,1585,true,,1441,1338
1553635353765,2226,true,,1847,956
1553635354451,1540,true,,1319,1196
1553635353589,2415,true,,1103,349
1553635354949,1056,true,,747,525
1553635354384,1628,true,,512,360
1553635353809,2239,true,,378,236
1553635354387,1662,true,,464,361
1553635354069,1982,true,,821,675
1553635354382,1669,true,,471,358
1553635353602,2480,true,,428,330
1553635354246,1841,true,,1760,1339
1553635353762,2330,true,,1177,926
1553635354381,1711,true,,497,352
1553635354129,1963,true,,808,672
1553635354949,1151,true,,759,535
1553635354810,1294,true,,1217,1138
1553635353459,2650,true,,253,138
1553635354074,2042,true,,513,402
1553635354418,1701,true,,1626,1288
1553635353598,2543,true,,440,340
1553635354745,1396,true,,1334,1240
1553635353922,2224,true,,1829,955
1553635354252,1894,true,,484,388
1553635354722,1438,true,,767,707
1553635354813,1350,true,,681,620
1553635353557,2615,true,,2317,2078
1553635354244,1946,true,,454,357
1553635354815,1379,true,,1292,1212
1553635353604,2590,true,,2174,1272
1553635354381,1829,true,,483,350
1553635354265,1960,true,,457,363
