timeStamp,elapsed,success,failureMessage,Latency,Connect
1553635322577,251,true,,201,143
1553635322627,268,true,,213,151
1553635322680,278,true,,229,150
1553635322730,241,true,,200,151
1553635322876,268,true,,175,124
1553635322930,256,true,,201,155
1553635322780,440,true,,361,169
1553635322980,271,true,,211,165
1553635322832,419,true,,316,174
1553635323030,253,true,,168,122
1553635323081,280,true,,183,135
1553635323180,269,true,,183,132
1553635323131,338,true,,236,187
1553635323232,242,true,,193,140
1553635323281,236,true,,193,144
1553635323331,284,true,,193,144
1553635323432,211,true,,169,126
1553635323381,281,true,,192,142
1553635323482,239,true,,192,144
1553635323533,224,true,,180,133
