timeStamp,elapsed,success,failureMessage,Latency,Connect
1553635342016,218,true,,172,128
1553635342026,227,true,,177,130
1553635342005,249,true,,194,144
1553635342045,260,true,,173,128
1553635342036,271,true,,207,151
1553635342095,228,true,,183,139
1553635342105,224,true,,179,129
1553635342086,250,true,,205,151
1553635342075,269,true,,181,133
1553635342066,305,true,,199,142
1553635342156,229,true,,185,142
1553635342125,276,true,,189,139
1553635342204,255,true,,203,158
1553635342145,318,true,,222,162
1553635342135,329,true,,229,170
1553635342167,299,true,,210,150
1553635342234,239,true,,197,149
1553635342269,237,true,,192,138
1553635342294,217,true,,174,128
1553635342269,243,true,,199,151
1553635342218,306,true,,210,159
1553635342228,299,true,,201,149
1553635342246,283,true,,225,177
1553635342275,258,true,,207,156
1553635342174,414,true,,285,137
1553635342325,275,true,,192,143
1553635342305,307,true,,177,128
1553635342395,227,true,,178,131
1553635342389,234,true,,183,138
1553635342334,289,true,,195,143
1553635342315,310,true,,204,151
1553635342355,271,true,,179,130
1553635342389,239,true,,193,143
1553635342405,228,true,,181,135
1553635342416,262,true,,176,132
1553635342447,263,true,,184,134
1553635342425,296,true,,203,152
1553635342471,252,true,,207,152
1553635342481,247,true,,201,147
1553635342508,244,true,,197,148
1553635342498,273,true,,187,135
1553635342558,228,true,,185,131
1553635342540,256,true,,206,147
1553635342535,280,true,,197,147
1553635342579,244,true,,194,149
1553635342618,214,true,,171,128
1553635342489,345,true,,199,150
1553635342195,646,true,,494,444
1553635342569,275,true,,221,171
1553635342599,275,true,,199,148
1553635342548,328,true,,191,134
1553635342116,764,true,,200,142
1553635342609,284,true,,188,138
1553635342674,221,true,,182,130
1553635342591,322,true,,213,156
1553635342659,254,true,,209,146
1553635342645,275,true,,181,138
1553635342696,231,true,,182,136
1553635342665,263,true,,171,126
1553635342629,304,true,,211,157
1553635342690,243,true,,192,144
1553635342057,915,true,,260,208
1553635342760,224,true,,183,142
1553635342761,232,true,,187,141
1553635342725,271,true,,182,131
1553635342174,855,true,,676,138
1553635342714,315,true,,202,153
1553635342709,322,true,,207,161
1553635342789,254,true,,201,148
1553635342817,301,true,,218,159
1553635342830,290,true,,205,146
1553635342840,293,true,,201,140
1553635342856,278,true,,192,139
1553635342870,275,true,,225,166
1553635342939,240,true,,194,145
1553635342921,260,true,,213,167
1553635342799,386,true,,241,173
1553635342817,369,true,,228,172
1553635342387,803,true,,188,142
1553635342880,312,true,,219,163
1553635342845,347,true,,202,148
1553635342971,223,true,,180,138
1553635342899,303,true,,205,148
1553635342992,233,true,,183,141
1553635342961,269,true,,220,172
1553635342982,252,true,,200,151
1553635342938,297,true,,212,157
1553635342639,607,true,,201,147
1553635342457,809,true,,230,171
1553635343005,282,true,,195,143
1553635342889,508,true,,461,415
1553635342523,920,true,,221,162
1553635342952,550,true,,464,416
1553635342775,801,true,,203,155
1553635342758,821,true,,214,155
1553635342766,819,true,,210,163
1553635342285,1386,true,,693,143
1553635342909,842,true,,719,675
1553635343000,871,true,,626,576
1553635342435,2531,true,,2389,2342
