timeStamp,elapsed,success,failureMessage,Latency,Connect
1553635330909,258,true,,182,133
1553635330976,229,true,,181,131
1553635330956,258,true,,180,130
1553635330934,288,true,,205,158
1553635330997,230,true,,184,135
1553635331058,220,true,,169,120
1553635331017,263,true,,178,122
1553635331078,218,true,,179,130
1553635331035,275,true,,185,133
1553635331118,220,true,,173,123
1553635331098,244,true,,191,135
1553635331138,254,true,,206,143
1553635331178,221,true,,172,126
1553635331158,244,true,,197,137
1553635331238,247,true,,203,155
1553635331218,268,true,,186,137
1553635331198,295,true,,204,146
1553635331278,224,true,,180,130
1553635331259,248,true,,197,146
1553635331318,247,true,,197,149
1553635331338,228,true,,183,131
1553635331299,303,true,,208,152
1553635331379,230,true,,183,130
1553635331359,252,true,,203,147
1553635331439,227,true,,181,137
1553635331401,282,true,,197,149
1553635331419,292,true,,198,146
1553635331459,255,true,,201,152
1553635331501,226,true,,184,140
1553635331480,285,true,,194,145
1553635331560,208,true,,168,124
1553635331540,253,true,,175,126
1553635331521,287,true,,188,139
1553635331581,231,true,,183,134
1553635331601,250,true,,170,126
1553635331623,238,true,,192,140
1553635331661,206,true,,166,123
1553635331642,231,true,,182,136
1553635331722,864,true,,172,131
1553635331702,930,true,,179,129
1553635331742,915,true,,831,133
1553635331762,910,true,,825,129
1553635331902,906,true,,821,777
1553635331681,1129,true,,192,134
1553635331782,1046,true,,914,773
1553635331882,946,true,,848,795
1553635331843,991,true,,828,784
1553635331863,1027,true,,838,782
1553635331803,1121,true,,911,783
1553635331822,1125,true,,891,771
